t,Date,mean_abs_beta,mean_diag_cov,mean_diag_P,min_cov_eig,min_P_eig
549,2023-07-20,0.16861058825337524,0.9102240927763161,0.0022625211514769755,0.11016106177536793,0.0006238704421792429
550,2023-07-24,0.15793690526630086,0.9025253619944917,0.0022685851726309708,0.10465980616297477,0.0004917946102534699
551,2023-07-25,0.15503698382548856,0.8702192957178203,0.0023200371144249327,0.10273833312576,0.0005745365023147863
552,2023-07-26,0.14723620583699665,0.8402490122096138,0.0023791049682813665,0.102825193145133,0.0006801164163680615
553,2023-07-27,0.13063658398402153,0.9189521277163055,0.0024516855506443117,0.09826881054895852,0.0007268409451387117
554,2023-07-31,0.13812793762327008,0.8987158711107548,0.002467810830554279,0.09395068336278263,0.00041773872830664423
555,2023-08-01,0.14723007673902402,0.8882428597091014,0.0024436004004961646,0.08938166898952624,0.0005045924303111094
556,2023-08-02,0.14241281153070445,0.9356277555628429,0.002504495211372759,0.09322746934105493,0.00042661467267730683
557,2023-08-03,0.14936804070180415,0.927346715286164,0.002431048084637736,0.08889625516584665,0.000431383966781156
558,2023-08-07,0.13700420282437675,0.923224164667811,0.002442085859976408,0.11676980373079077,0.0005118147163931739
559,2023-08-08,0.15031285243248768,0.9087065682946124,0.002350457360461704,0.11224829732653115,0.0005948176542353164
560,2023-08-09,0.1499139433550009,0.8770059577000151,0.0023105219470669607,0.1168472249802678,0.0006582120048958636
561,2023-08-10,0.14348729768810112,0.8569242306734407,0.0023818179313053254,0.11269242670903948,0.0007637736966119829
562,2023-08-14,0.14515959472726458,0.8219195951003673,0.0024353004606533254,0.11039419523686662,0.0008129725190212851
563,2023-08-15,0.15046222675696372,0.796032672418002,0.0024958876002385815,0.10662994592696924,0.0008555019247022568
564,2023-08-16,0.15223228862057592,0.7821818993929728,0.002532882372012118,0.1087704135546142,0.0008494503932953425
565,2023-08-17,0.1531194234515508,0.7540428900285224,0.0025232021978968153,0.11292323343046771,0.0007330004595779278
566,2023-08-21,0.15943412895828263,0.730221043127314,0.0025300843726637668,0.11494562139965561,0.0008349201720525824
567,2023-08-22,0.14805176112716656,0.7088455788301691,0.002460138695576126,0.10925568206316794,0.0009196170376519548
568,2023-08-23,0.15019719958601854,0.7548058926165189,0.0025007346443841395,0.11731817257207877,0.0010209277261881591
569,2023-08-24,0.15252348501189672,0.7723320212666716,0.002467136476365737,0.11513385054647372,0.0005067497862017674
570,2023-08-28,0.15017695391005603,0.7466273964996807,0.0024577232970116104,0.11003842345774187,0.0005529276611395323
571,2023-08-29,0.14554155448761721,0.7515835001447339,0.0025451573618326287,0.10465271357049065,0.0006415870439290543
572,2023-08-30,0.14934464960553512,0.7226910271369569,0.0025789193894709974,0.10148101688714162,0.0005013630615869891
573,2023-08-31,0.15208666965011913,0.7026706807393239,0.0026360932083476446,0.10042941389971798,0.0005729016787248115
574,2023-09-05,0.15903819525113386,0.7164691556770731,0.0026589882881901694,0.0987027715303928,0.0006563983859955431
575,2023-09-06,0.15566835153438224,0.7011200418908428,0.0026708107568029307,0.09440863705150294,0.000557584489885614
576,2023-09-07,0.15637460172589837,0.6743059276508636,0.002711006494018573,0.08977189084222487,0.0005966839183088709
577,2023-09-11,0.15453078847758714,0.6672665496908339,0.0027744706098880877,0.08720835454500662,0.0006990334193059774
578,2023-09-12,0.1467460405700321,0.6535551155241945,0.002773831261511072,0.08292849527238648,0.0007404628139125428
