Date,Horizon,Response
2022-12-20,3,-0.36221026045544324
2022-12-20,4,-0.3281146093572727
2022-12-20,5,0.13326616477181952
2022-12-20,6,0.8863581286050304
2022-12-20,7,-0.29284983689071575
2022-12-20,8,0.22087278629634233
2022-12-20,9,-0.2234624889785709
2022-12-20,10,-0.01169745472002992
2022-12-20,11,0.209133111190544
2022-12-20,12,0.31725824534411806
2022-12-20,13,0.44557554584899295
2022-12-20,14,0.092053667667928
2022-12-20,15,-0.2067611749668412
2022-12-20,16,-0.4407090104128666
2022-12-20,17,-0.37582886377367025
2022-12-20,18,-0.32024469674992717
2022-12-20,19,-0.15963987258802625
2022-12-20,20,-0.018466438897967286
2023-01-03,0,0.7530919638332109
2023-01-03,1,-0.42611600166253527
2023-01-03,2,0.08760662152452281
2023-01-03,3,-0.3567286537503904
2023-01-03,4,-0.14496361949184944
2023-01-03,5,0.07586694641872449
2023-01-03,6,0.18399208057229854
2023-01-03,7,0.31230938107717343
2023-01-03,8,-0.04121249710389152
2023-01-03,9,-0.3400273397386607
2023-01-03,10,-0.5739751751846861
2023-01-03,11,-0.5090950285454898
2023-01-03,12,-0.4535108615217467
2023-01-03,13,-0.2929060373598458
2023-01-03,14,-0.1517326036697868
2023-01-03,15,-0.4825096267283244
2023-01-03,16,0.3666242510442329
2023-01-03,17,0.20730173839456867
2023-01-03,18,0.6412378275369469
2023-01-03,19,0.14693377190234602
2023-01-03,20,-0.44188556411984753
2023-05-11,0,1.1407737274601284
2023-05-11,1,0.5310501903274361
2023-05-11,2,0.3974462052952863
2023-05-11,3,0.4741502033476038
2023-05-11,4,0.5347348647401323
2023-05-11,5,0.007885445223003273
2023-05-11,6,-0.043570425592217965
2023-05-11,7,0.8238306072848919
2023-05-11,8,0.3672840196669701
2023-05-11,9,-0.07759967075766072
2023-05-11,10,-0.0035534078971428684
2023-05-11,11,0.22180599154000535
2023-05-11,12,-0.030894456178278684
2023-05-11,13,-0.3004261314335737
2023-05-11,14,-0.22137120560846732
2023-05-11,15,0.17252532110443197
2023-05-11,16,0.1706346888531951
2023-05-11,17,0.05793777157343871
2023-05-11,18,0.0676337801510446
2023-05-11,19,-0.05907983521649024
2023-05-11,20,0.18985103734137243
2023-10-02,0,1.5902821111075507
2023-10-02,1,1.1504613995789874
2023-10-02,2,0.13692664812911226
2023-10-02,3,-0.04655305198781817
2023-10-02,4,0.015533675589677443
2023-10-02,5,-0.265629126885114
2023-10-02,6,0.15764776957199766
2023-10-02,7,0.1255962807689699
2023-10-02,8,1.0831911856418477
2023-10-02,9,1.2487854785767039
2023-10-02,10,0.16086317176567522
2023-10-02,11,0.07355054817200296
2023-10-02,12,0.21970416178970353
2023-10-02,13,-0.17022761745965623
2023-10-02,14,-0.054026118866381534
2023-10-02,15,0.5080334827217956
2023-10-02,16,0.8999298622104204
2023-10-02,17,0.5759157266650955
2023-10-02,18,0.04859739618758713
2023-10-02,19,0.2016798085998226
2023-10-02,20,0.09399691274145605
2023-10-03,0,-0.4398207115285633
2023-10-03,1,-1.4533554629784384
2023-10-03,2,-1.6368351630953688
2023-10-03,3,-1.5747484355178734
2023-10-03,4,-1.8559112379926648
2023-10-03,5,-1.432634341535553
2023-10-03,6,-1.4646858303385808
2023-10-03,7,-0.507090925465703
2023-10-03,8,-0.34149663253084683
2023-10-03,9,-1.4294189393418755
2023-10-03,10,-1.5167315629355478
2023-10-03,11,-1.3705779493178472
2023-10-03,12,-1.7605097285672069
2023-10-03,13,-1.6443082299739322
2023-10-03,14,-1.082248628385755
2023-10-03,15,-0.6903522488971303
2023-10-03,16,-1.014366384442455
2023-10-03,17,-1.5416847149199635
2023-10-03,18,-1.388602302507728
2023-10-03,19,-1.4962851983660945
2023-10-03,20,-1.7443824249019182
2023-10-16,0,0.9575949048728778
