Date,EventLabel,Is_DC_Event,DC_EventType,DirectionType,PersistenceType,PairImpact,DC_to_CP,CP_to_DC,Asymmetry,Magnitude,Peak,PeakHorizon,HalfLife,AUC,Cluster,ClusterLabel
2025-02-03,"무역불안에 따른 금 강세, 구조적 구리 수요 테마 명확",False,Non_DC_Event,DC_to_Copper,Transient,0.1489921240700191,0.0820406548448459,0.0669514692251732,0.015089185619672707,1.550285049901912,1.0512528233474816,0.0,1.0,7.246435877453471,2.0,Unassigned
2025-04-03,"트럼프의 공격적 관세 발표로 금은 사상 최고치, 구리는 경기둔화 우려로 약세",False,Non_DC_Event,Bidirectional,Structural,0.16166776972242708,0.0739103853443987,0.0877573843780284,-0.013846999033629695,2.268956414103629,2.145371355892221,1.0,5.0,17.495660493554222,0.0,Unassigned
2025-04-07,2025-04-07,False,Non_DC_Event,Copper_to_DC,Structural,0.1063050791917588,0.0043677772432042,0.1019373019485546,-0.09756952470535041,2.315554942900224,1.990278301241804,17.0,,28.055098432740976,,Unassigned
2025-04-08,"미·중 무역갈등 재격화와 관세 불안, AI와 DC가 2030년까지 구리 수요를 100만 톤 추가",False,Non_DC_Event,Copper_to_DC,Structural,0.0472393514043892,0.0103949410879976,0.0368444103163916,-0.026449469228394,1.8161503712587928,2.0368768300383984,16.0,2.0,30.70565098174797,3.0,Unassigned
2025-04-09,2025-04-09,False,Non_DC_Event,Copper_to_DC,Structural,0.0158639551635138,0.0064297880099469,0.0094341671535669,-0.003004379143620001,1.9079364719158023,1.5374722583969676,15.0,,22.73431712186916,,Unassigned
2025-04-10,2025-04-10,False,Non_DC_Event,Bidirectional,Structural,0.0441126400929015,0.021544894359998,0.0225677457329035,-0.0010228513729054999,2.3077763647992717,1.629258359053977,14.0,,25.827145093424956,,Unassigned
2025-07-08,트럼프의 구리 50% 관세 방침 발표,True,Copper_Supply_Transient,Copper_to_DC,Transient,0.47464020917648897,0.150716103484441,0.323924105692048,-0.173208002207607,2.6226640301584108,2.6225738093676028,14.0,2.0,14.309732673466725,3.0,Unassigned
2025-07-09,트럼프의 구리 50% 관세 방침 발표,False,Non_DC_Event,DC_to_Copper,Structural,0.2093236757926811,0.1769198218561031,0.032403853936578,0.14451596791952512,2.0348951629841747,2.3742555156937786,17.0,13.0,38.78378623528754,3.0,Unassigned
2025-07-31,미국 정제동을 관세 대상에서 제외,True,Copper_Supply_Transient,Copper_to_DC,Transient,0.556207566404644,0.1477457153085374,0.4084618510961066,-0.26071613578756925,2.8407847779301725,2.515935387898531,0.0,2.0,11.13979329320403,0.0,Unassigned
2025-08-04,2025-08-04,False,Non_DC_Event,DC_to_Copper,Structural,0.1626958022769934,0.1339699880577507,0.0287258142192427,0.10524417383850801,2.0886017688119667,2.5923762634655403,3.0,,44.61427817724244,,Unassigned
2025-09-02,"금은 달러·장기금리·재정 불안 속 사상 최고권, 구리는 달러 약세와 중국 지표로 2개월 고점",False,Non_DC_Event,Copper_to_DC,Structural,0.046029159187820995,0.0161806307992091,0.0298485283886119,-0.0136678975894028,1.4298339323969202,0.849805241740946,7.0,8.0,9.749374992318929,1.0,Unassigned
2025-11-13,미국 셧다운 종료와 더 비둘기파적인 금리 기대 속 금과 은이 상승,False,Non_DC_Event,DC_to_Copper,Structural,0.013329961047833901,0.0110938918140901,0.0022360692337438,0.0088578225803463,1.586987412708092,1.1460585842136632,2.0,3.0,8.327620964329032,2.0,Unassigned
2025-11-17,중앙은행의 지속적 금 매수 전망,False,Non_DC_Event,Copper_to_DC,Structural,0.0296614113836672,0.0116148899332281,0.0180465214504391,-0.006431631517210998,1.8905487502374383,1.276343995037872,8.0,4.0,17.480517395859533,1.0,Unassigned
2025-11-18,2025-11-18,False,Non_DC_Event,DC_to_Copper,Structural,0.1100064191362385,0.0839808187693723,0.0260256003668662,0.0579552184025061,1.9789794378139207,1.579905332567219,7.0,,22.992155041459704,,Unassigned
2025-11-24,UBS의 구리 전망 상향,False,Non_DC_Event,DC_to_Copper,Structural,0.1580560448337686,0.1400434565776618,0.0180125882561068,0.12203086832155499,1.4520681793532206,0.8850446124446978,4.0,12.0,11.103696083979544,1.0,Unassigned
2025-12-29,"금·은이 급등 후 변동성 확대, 구리는 글로벌 공급부족 우려로 15년 만의 최대 연간 상승폭",False,Non_DC_Event,DC_to_Copper,Transient,0.0406078426123017,0.0302127311243769,0.0103951114879248,0.0198176196364521,1.5394538426361677,1.1337787205345036,0.0,1.0,2.385120145331072,2.0,Unassigned
