t,TCI,diag_mean,offdiag_mean,diag_minus_offdiag,row_err,net_abs_mean
110,52.13716414906332,0.47862835850936697,0.05793018238784813,0.42069817612151883,2.220446049250313e-16,0.11402259046926858
111,50.3090060410454,0.4969099395895459,0.055898895601161555,0.4410110439883843,2.220446049250313e-16,0.1136962587280272
112,49.80235960532774,0.5019764039467225,0.05533595511703082,0.44664044882969167,2.220446049250313e-16,0.12611280920263965
113,49.26911145164621,0.5073088854835379,0.05474345716849579,0.45256542831504215,2.220446049250313e-16,0.12688931932554198
114,49.07365426330797,0.5092634573669205,0.05452628251478663,0.45473717485213383,2.220446049250313e-16,0.145814585111059
115,49.07498337844133,0.5092501662155867,0.05452775930937925,0.45472240690620747,2.220446049250313e-16,0.06895130302312147
116,47.74439627422111,0.5225560372577885,0.053049329193579006,0.4695067080642095,2.220446049250313e-16,0.08534208277735025
117,47.283428556576176,0.5271657144342383,0.05253714284064019,0.4746285715935981,4.440892098500626e-16,0.08790561619513286
118,51.873080627804825,0.481269193721952,0.05763675625311647,0.4236324374688355,2.220446049250313e-16,0.14817066463120926
119,53.351949241561826,0.4664805075843816,0.05927994360173536,0.40720056398264626,2.220446049250313e-16,0.15407540950377968
120,51.44718556506787,0.48552814434932134,0.05716353951674207,0.42836460483257927,2.220446049250313e-16,0.1491986853235231
121,53.04505292986021,0.46954947070139763,0.05893894769984469,0.41061052300155293,2.220446049250313e-16,0.18477676685629713
122,50.75109092953861,0.4924890907046137,0.056390101032820675,0.43609898967179306,3.3306690738754696e-16,0.16380773164761125
123,52.519801354291474,0.47480198645708527,0.05835533483810164,0.41644665161898364,2.220446049250313e-16,0.17454852826360961
124,51.88584082842588,0.48114159171574145,0.057650934253806525,0.4234906574619349,2.220446049250313e-16,0.167970990738862
125,49.614039488710674,0.5038596051128931,0.05512671054301187,0.4487328945698812,2.220446049250313e-16,0.14505545603486208
126,50.15863246493082,0.49841367535069186,0.05573181384992313,0.4426818615007687,2.220446049250313e-16,0.14269188153102105
127,63.904943352707576,0.3609505664729242,0.07100549261411954,0.28994507385880464,4.440892098500626e-16,0.2617333944905297
128,57.03465274873232,0.42965347251267694,0.06337183638748035,0.3662816361251966,2.220446049250313e-16,0.14084678527181552
129,60.35626765207538,0.3964373234792462,0.06706251961341708,0.3293748038658291,2.220446049250313e-16,0.16454640483596555
130,60.3239655694751,0.39676034430524887,0.06702662841052788,0.329733715894721,2.220446049250313e-16,0.15783015723025953
131,58.60008538988056,0.41399914610119415,0.06511120598875618,0.34888794011243796,2.220446049250313e-16,0.14493653109941887
132,56.680937617256745,0.4331906238274324,0.06297881957472971,0.37021180425270267,2.220446049250313e-16,0.1422394028722637
133,56.94575682426455,0.43054243175735457,0.06327306313807171,0.36726936861928283,3.3306690738754696e-16,0.1622598731139024
134,55.93147529545502,0.44068524704544954,0.0621460836616167,0.37853916338383287,2.220446049250313e-16,0.15879790270128025
135,55.157809413963385,0.4484219058603663,0.061286454904403764,0.3871354509559625,2.220446049250313e-16,0.1506279131365521
136,56.12599650491429,0.4387400349508571,0.06236221833879366,0.3763778166120635,2.220446049250313e-16,0.1571428171116043
137,54.46837430999013,0.4553162569000985,0.06052041589998903,0.3947958410001095,2.220446049250313e-16,0.11766874072342917
138,55.841088985254814,0.4415891101474519,0.062045654428060905,0.37954345571939097,2.220446049250313e-16,0.14405949409921184
139,55.384157377544184,0.4461584262245581,0.061537952641715764,0.38462047358284235,2.220446049250313e-16,0.164415733637512
140,54.652346310978785,0.4534765368902118,0.06072482923442087,0.3927517076557909,2.220446049250313e-16,0.15572308151919423
141,53.84888624136438,0.4615111375863562,0.0598320958237382,0.401679041762618,2.220446049250313e-16,0.15486772028500911
142,57.673750049076965,0.42326249950923034,0.0640819444989744,0.3591805550102559,2.220446049250313e-16,0.14334320680561907
143,57.738225559507384,0.42261774440492605,0.0641535839550082,0.35846416044991786,2.220446049250313e-16,0.13387681200605933
144,57.69947661186513,0.42300523388134853,0.06411052956873903,0.3588947043126095,2.220446049250313e-16,0.15124412331943624
145,59.02517429458862,0.40974825705411366,0.06558352699398735,0.3441647300601263,2.220446049250313e-16,0.15074910357455695
146,57.922248725096615,0.42077751274903374,0.06435805413899623,0.35641945861003754,2.220446049250313e-16,0.13538724186482315
147,57.88294052666371,0.42117059473336294,0.06431437836295967,0.35685621637040327,2.220446049250313e-16,0.13281021191702788
148,58.1627184611564,0.4183728153884362,0.06462524273461823,0.35374757265381795,2.220446049250313e-16,0.13819008401557617
149,57.935394999326675,0.42064605000673333,0.06437266111036297,0.3562733888963704,4.440892098500626e-16,0.1255247022350426
