Date,Close,,,,,
2024-12-23,30.06,,,,,
2024-12-19,29.282,,,,,
2024-12-18,30.61,,,,,
2024-12-17,30.796,,,,,
2024-12-16,30.927,,,,,
2024-12-12,31.482,,,,,
2024-12-11,32.823,,,,,
2024-12-10,32.612,,,,,
2024-12-09,32.481,,,,,
2024-12-05,31.406,,,,,
2024-12-04,31.786,,,,,
2024-12-03,31.363,,,,,
2024-12-02,30.742,,,,,
2024-11-27,30.455,,,,,
2024-11-26,30.567,,,,,
2024-11-25,30.396,,,,,
2024-11-21,31.099,,,,,
2024-11-20,31.159,,,,,
2024-11-19,31.417,,,,,
2024-11-18,31.379,,,,,
2024-11-14,30.724,,,,,
2024-11-13,30.817,,,,,
2024-11-12,30.915,,,,,
2024-11-11,30.768,,,,,
2024-11-07,32.013,,,,,
2024-11-06,31.485,,,,,
2024-11-05,32.934,,,,,
2024-11-04,32.765,,,,,
2024-10-31,32.953,,,,,
2024-10-30,34.234,,,,,
2024-10-29,34.441,,,,,
2024-10-28,34.001,,,,,
2024-10-24,33.795,,,,,
2024-10-23,33.839,,,,,
2024-10-22,35.041,,,,,
2024-10-21,34.078,,,,,
2024-10-17,31.774,,,,,
2024-10-16,31.974,,,,,
2024-10-15,31.756,,,,,
2024-10-14,31.316,,,,,
2024-10-10,31.24,,,,,
2024-10-09,30.67,,,,,
2024-10-08,30.6,,,,,
2024-10-07,32.004,,,,,
2024-10-03,32.464,,,,,
2024-10-02,31.92,,,,,
2024-10-01,31.742,,,,,
2024-09-30,31.458,,,,,
2024-09-26,32.195,,,,,
2024-09-25,31.87,,,,,
2024-09-24,32.28,,,,,
2024-09-23,30.94,,,,,
2024-09-19,31.281,,,,,
2024-09-18,30.542,,,,,
2024-09-17,30.834,,,,,
2024-09-16,30.99,,,,,
2024-09-12,29.967,,,,,
2024-09-11,28.793,,,,,
2024-09-10,28.484,,,,,
2024-09-09,28.521,,,,,
2024-09-05,28.96,,,,,
2024-09-04,28.421,,,,,
2024-09-03,28.208,,,,,
2024-09-01,29.25,,,,,
2024-08-29,29.827,,,,,
2024-08-28,29.34,,,,,
2024-08-27,30.125,,,,,
2024-08-26,30.155,,,,,
2024-08-22,29.185,,,,,
2024-08-21,29.676,,,,,
2024-08-20,29.659,,,,,
2024-08-19,29.44,,,,,
2024-08-15,28.548,,,,,
2024-08-14,27.469,,,,,
2024-08-13,27.916,,,,,
2024-08-12,28.134,,,,,
2024-08-08,27.733,,,,,
2024-08-07,27.069,,,,,
2024-08-06,27.341,,,,,
2024-08-05,27.338,,,,,
2024-08-01,28.607,,,,,
2024-07-31,29.073,,,,,
2024-07-30,28.685,,,,,
2024-07-29,27.866,,,,,
2024-07-25,27.975,,,,,
2024-07-24,29.316,,,,,
2024-07-23,29.331,,,,,
2024-07-22,29.321,,,,,
2024-07-18,30.224,,,,,
2024-07-17,30.377,,,,,
2024-07-16,31.458,,,,,
2024-07-15,30.936,,,,,
2024-07-11,31.671,,,,,
2024-07-10,31.014,,,,,
2024-07-09,31.056,,,,,
2024-07-08,30.913,,,,,
2024-07-03,30.842,,,,,
2024-07-02,29.658,,,,,
2024-07-01,29.613,,,,,
2024-06-27,29.256,,,,,
2024-06-26,29.091,,,,,
2024-06-25,29.028,,,,,
2024-06-24,29.685,,,,,
2024-06-20,30.981,,,,,
2024-06-18,29.717,,,,,
2024-06-17,29.545,,,,,
2024-06-13,29.216,,,,,
2024-06-12,30.422,,,,,
2024-06-11,29.386,,,,,
2024-06-10,30.03,,,,,
2024-06-06,31.532,,,,,
2024-06-05,30.229,,,,,
2024-06-04,29.772,,,,,
2024-06-03,30.942,,,,,
2024-05-30,31.68,,,,,
2024-05-29,32.373,,,,,
2024-05-28,32.137,,,,,
2024-05-26,30.715,,,,,
2024-05-23,30.455,,,,,
2024-05-22,31.496,,,,,
2024-05-21,32.078,,,,,
2024-05-20,32.426,,,,,
2024-05-16,29.876,,,,,
2024-05-15,29.729,,,,,
2024-05-14,28.702,,,,,
2024-05-13,28.443,,,,,
2024-05-09,28.365,,,,,
2024-05-08,27.601,,,,,
2024-05-07,27.544,,,,,
