t,Date,TCI
346,346,68.07227644293746
347,347,67.6524849001417
348,348,68.7566127601216
349,349,66.45168368202964
350,350,66.26582523229312
351,351,65.19289603069409
352,352,66.58946459964646
353,353,63.93587912433644
354,354,64.0011964930071
355,355,62.037139558099
356,356,61.53892660847664
357,357,63.03062167036042
358,358,62.336032187284374
359,359,62.28202898599125
360,360,61.74025161816916
361,361,60.85185799959554
362,362,59.888339070247554
363,363,59.33210252547341
364,364,58.46784247909662
365,365,61.678735514306695
366,366,60.5296176759799
367,367,61.231715517965156
368,368,63.04192885888753
369,369,60.76406737685496
370,370,59.54456760372786
371,371,61.448211703887054
372,372,54.87449873877183
373,373,54.58250838413547
374,374,54.95928419692506
375,375,54.346966850564804
376,376,55.27802653586878
377,377,54.11049711454402
378,378,53.910523270747746
379,379,58.765452579057694
380,380,60.16285459789741
381,381,70.09624812476612
382,382,61.37778022804562
383,383,70.40968627793255
384,384,62.04774101458318
385,385,61.13492328734138
386,386,63.51942501603916
387,387,56.88379612792046
388,388,56.27416845580849
389,389,55.49370155928071
390,390,56.610423892223714
391,391,52.90893304935176
392,392,52.12918832436129
393,393,54.09631043935317
394,394,52.624773457456634
395,395,53.38715919788386
396,396,52.05666379036693
397,397,50.87265328850863
398,398,51.82415783113876
399,399,51.50372832411977
400,400,51.25675286249602
401,401,51.50821075145367
402,402,50.97200662149633
403,403,74.40073964823803
404,404,54.760450131174174
405,405,55.06941908337922
406,406,53.08248855448164
407,407,52.73486412068278
408,408,54.72764773612917
409,409,55.342255662683804
410,410,52.82989199112586
411,411,50.59922779386636
412,412,51.056809320745465
413,413,52.7247936797649
414,414,55.874270982228246
415,415,52.75827040776908
416,416,64.66088294739653
417,417,63.788410735916415
418,418,55.01909242751547
419,419,65.85270471601609
420,420,57.85754243819201
421,421,56.02835281218507
422,422,56.93831516039999
423,423,54.495884387289195
424,424,53.97171095280208
425,425,56.1228127924562
426,426,54.73814967238238
427,427,49.60314585023548
428,428,48.48861244569626
429,429,47.0736225973844
430,430,47.67921858471465
431,431,47.51222285113916
432,432,46.39489598825919
433,433,48.984493791880396
434,434,48.30838732112747
435,435,50.91739449597114
436,436,51.29738100426995
437,437,51.61535368258281
438,438,53.462520030075446
439,439,54.5777867914647
440,440,58.71676275011637
441,441,55.90878086788894
442,442,56.76372790045164
443,443,55.72948898140119
444,444,57.90223905015529
445,445,54.35159138430154
446,446,52.41529709689725
447,447,50.91244879832975
448,448,50.60487993978945
449,449,49.19749579414015
450,450,48.09313055217974
451,451,47.61020234214142
452,452,46.114480646688115
453,453,44.851636999980194
454,454,42.65306262491892
455,455,40.277319569855585
456,456,39.30874370803036
457,457,62.38401933896506
458,458,77.01478389331041
459,459,63.949267289007196
460,460,64.95660850718666
461,461,69.67240483423102
462,462,66.54818639426914
463,463,62.723652697536515
464,464,62.12277236935042
465,465,59.14088399017705
466,466,58.59346876597361
467,467,57.75026530268874
468,468,58.357134548732205
469,469,56.53668729670921
470,470,55.19592835045667
471,471,58.47121812624548
472,472,56.86152330330415
473,473,55.59812036392271
474,474,55.57560301981359
475,475,54.55700758298476
476,476,57.70289742504551
477,477,57.59188100681607
478,478,58.67621372755648
479,479,56.194760783214306
480,480,56.160544302065816
481,481,55.17326848211891
482,482,54.78584660658446
483,483,55.96580235411957
484,484,57.19840566258828
485,485,56.00409645719465
486,486,57.7058061501931
487,487,55.78128104979425
488,488,58.12057092452414
489,489,53.173927734066396
490,490,56.52119329267793
491,491,57.90166551681979
492,492,55.198414766857404
493,493,52.35456800270563
494,494,53.979292732011544
495,495,52.685231272166966
496,496,55.316424910512055
497,497,56.21787274832093
498,498,57.32172791055435
499,499,56.244442726656075
500,500,62.12636942772903
501,501,54.60995004182452
502,502,53.83095357780461
503,503,51.558671179404556
504,504,51.696371098184045
505,505,52.551861074902305
506,506,53.43453912296929
507,507,53.04294752896952
508,508,64.66386222984755
509,509,55.664007725613274
510,510,55.37310662676226
511,511,52.9327007237935
512,512,54.14804463059466
513,513,49.506498004993816
514,514,49.28711131994732
515,515,53.82427556983716
516,516,50.985708330332955
517,517,49.839101733632404
518,518,50.367357690964575
519,519,58.22256444163073
520,520,55.218083777943114
521,521,61.394170924328684
522,522,68.06386042379629
523,523,60.47250406571116
524,524,60.12319386361318
525,525,58.93145845675135
526,526,58.29602846782762
