Date,DeltaS_SOLVPN_to_COPPER,DeltaS_COPPER_to_SOLVPN,PairDeltaTotal,Asymmetry_DeltaS,AbsAsymmetry_DeltaS,Share_SOLVPN_to_COPPER,Share_COPPER_to_SOLVPN,SC_Baseline,SC_InitialResponse,SC_Peak,SC_PeakHorizon,SC_HalfLife,SC_DurationAboveHalf,SC_AUC,SC_MaxHorizonUsed,CS_Baseline,CS_InitialResponse,CS_Peak,CS_PeakHorizon,CS_HalfLife,CS_DurationAboveHalf,CS_AUC,CS_MaxHorizonUsed,RelationshipType
2023-01-03,0.0250742334289754,0.0518684771420881,0.0769427105710635,-0.0267942437131127,0.0267942437131127,0.3258818573309436,0.6741181426690565,0.04483881830883769,-0.02507423342897547,0.12365808356441918,7,11.0,19,0.6577667664693889,20,0.04954119010586812,0.0518684771420881,0.2910550585095684,17,1.0,16,1.472460294132391,20,bilateral
2023-05-11,0.0571756105465152,0.0467920248376345,0.1039676353841497,0.010383585708880705,0.010383585708880705,0.5499366253282304,0.4500633746717696,0.1454123247331104,-0.05717561054651525,0.07719628178887628,9,3.0,15,0.8930418742971807,20,0.11639351514014512,-0.04679202483763455,0.05311927712442632,1,3.0,6,0.4079558018939572,20,bilateral
2023-10-02,0.1880527294631595,0.0708297462153979,0.25888247567855743,0.1172229832477616,0.1172229832477616,0.7264019280187045,0.2735980719812954,0.0843156151070926,0.18805272946315957,0.19395835093627103,16,1.0,3,1.1480525625267803,20,0.08152407790841715,0.07082974621539792,0.1776713180723664,15,6.0,19,1.7005581856674514,20,SOLVPN_driven
2023-10-03,0.1182665156785389,0.0413332039842568,0.15959971966279568,0.0769333116942821,0.0769333116942821,0.741019570262491,0.25898042973750907,0.27236834457025216,-0.11826651567853894,0.2263337759168902,7,15.0,20,3.056538730439286,20,0.15235382412381507,0.041333203984256855,0.12367036183209448,20,3.0,12,0.8612879310962136,20,SOLVPN_driven
2023-10-16,0.0334795665702192,0.0853614051233838,0.118840971693603,-0.051881838553164604,0.051881838553164604,0.2817173748506244,0.7182826251493757,0.0795141352235812,-0.033479566570219235,0.19875983081978243,8,2.0,15,1.0212810501174918,20,0.15963069579531383,-0.08536140512338383,0.13094723350359325,13,1.0,7,1.0092093708420158,20,COPPER_driven
2023-10-17,0.0777393865271958,0.0799624323367187,0.1577018188639145,-0.0022230458095229,0.0022230458095229,0.49295174327874675,0.5070482567212533,0.04603456865336196,0.0777393865271958,0.23223939739000166,7,1.0,15,1.5537990155837327,20,0.07426929067193,0.07996243233671871,0.18492610530885356,6,13.0,19,1.5342894768719446,20,bilateral
2024-02-15,0.2413528738735064,0.0999459947245249,0.34129886859803127,0.1414068791489815,0.1414068791489815,0.7071599002508343,0.29284009974916575,0.04151711111123206,0.24135287387350646,0.24135287387350646,0,1.0,1,0.8721362642801314,20,0.03921171448241269,0.09994599472452499,0.09994599472452499,0,1.0,13,1.2049857230182015,20,SOLVPN_driven
2024-04-10,0.0295678834695814,0.0174066859864362,0.046974569456017606,0.0121611974831452,0.0121611974831452,0.6294444805346406,0.37055551946535925,0.11626542667506122,-0.029567883469581432,0.11092329631518938,10,20.0,20,1.428021689775501,20,0.04334869204523355,0.017406685986436264,0.13661684991672562,12,1.0,16,0.6878762666612407,20,bilateral
2024-04-30,0.0502382824741659,0.0837221115950732,0.1339603940692391,-0.0334838291209073,0.0334838291209073,0.3750234001864732,0.6249765998135268,0.00534213035987184,0.0502382824741659,0.09944158316515421,9,,21,1.355098349488376,20,0.07909048327259441,0.08372211159507328,0.10648100406109923,14,2.0,14,1.2406833129722217,20,bilateral
2024-08-05,0.0394891982667403,0.0432913030673418,0.0827805013340821,-0.0038021048006015024,0.0038021048006015024,0.47703502189931707,0.522964978100683,0.21645195891400515,-0.03948919826674038,0.14612926017435163,12,2.0,20,1.9926497665004066,20,0.04046304313727254,0.04329130306734188,0.1079046939692776,16,,21,1.331223349446343,20,bilateral
2024-08-06,0.0021278396781891,0.034606810178583,0.0367346498567721,-0.032478970500393896,0.032478970500393896,0.05792459398648191,0.942075406013518,0.17696276064726477,-0.0021278396781891362,0.10664006190761126,11,,21,1.2971297273065074,20,0.08375434620461442,0.03460681017858305,0.06461339090193571,15,1.0,12,0.5102785290676609,20,COPPER_driven
2024-11-06,0.0902292727082288,0.0514451573702873,0.1416744300785161,0.038784115337941495,0.038784115337941495,0.6368776119884417,0.3631223880115582,0.04332943801638895,0.09022927270822886,0.25932609730050593,3,,21,3.0528660939318972,20,0.05341970571409309,0.05144515737028739,0.13769889783401817,1,,21,1.7684571341451247,20,bilateral
2024-11-07,0.1136996147899497,0.0862537404637308,0.1999533552536805,0.027445874326218894,0.027445874326218894,0.568630692121666,0.43136930787833405,0.1335587107246178,0.1136996147899497,0.16909682459227707,2,5.0,10,1.1971108282573144,20,0.10486486308438048,0.0862537404637308,0.0862537404637308,0,2.0,6,0.6951544601271802,20,bilateral
2024-12-18,0.0816071657361866,0.0140929276655245,0.0957000934017111,0.06751423807066209,0.06751423807066209,0.85273862161902,0.14726137838097994,0.14391406654158997,-0.08160716573618668,0.126586672816438,1,13.0,16,1.600655154888057,20,0.11191049384247115,-0.014092927665524599,0.10922598664412582,11,,21,1.4779399763242846,20,SOLVPN_driven
2024-12-19,0.0449795070802513,0.071560602153533,0.1165401092337843,-0.026581095073281706,0.026581095073281706,0.38595731011389856,0.6140426898861014,0.06230690080540329,-0.04497950708025132,0.07524944843666984,13,5.0,11,0.6439948641721222,20,0.09781756617694655,-0.07156060215353305,0.09513305897860122,10,9.0,16,1.301654870348075,20,bilateral
2025-01-13,0.02320356455598,0.0016821451082612,0.024885709664241203,0.0215214194477188,0.0215214194477188,0.9324051782747305,0.06759482172526948,0.06806365932935617,-0.023203564555980098,0.14211846852520715,15,2.0,20,1.183592323193686,20,0.01663826463254856,-0.0016821451082612258,0.14831074446863365,18,4.0,20,1.3478758370732458,20,SOLVPN_driven
