Date,SOLVPN,log_price,log_price_hat,price_hat
2022-01-14,1089.55,6.9935200459429305,6.962945255941307,1056.74135211585
2022-01-18,1080.88,6.985530803151704,6.9625929700078775,1056.36914256817
2022-01-19,1071.23,6.976562799959411,6.962235624259751,1055.9917209856367
2022-01-20,1064.38,6.970147748998403,6.961873230174191,1055.6091051645933
2022-01-21,1052.69,6.9591040718296195,6.961505799425889,1055.221313168883
2022-01-24,1056.58,6.962792555912036,6.961133343887599,1054.8283633293859
2022-01-25,1043.2,6.950048191172389,6.9607558756307695,1054.4302742435493
2022-01-26,1027.44,6.9348255505048,6.960373406926169,1054.0270647748846
2022-01-27,1001.44,6.909194243176391,6.959985950244515,1053.61875405246
2022-01-28,1030.36,6.9376635347208016,6.9595935182570905,1053.2053614703614
2022-01-31,1057.69,6.9638425638126185,6.95919612383637,1052.7869066871451
2022-02-01,1057.87,6.964012731522761,6.958793780056625,1052.3634096252595
2022-02-02,1059.53,6.965580692550524,6.958386500194542,1051.934890470461
2022-02-03,1042.96,6.949818103354524,6.957974297729826,1051.5013696711976
2022-02-04,1038.9,6.945917740076486,6.957557186345804,1051.0628679379834
2022-02-07,1035.82,6.942948662550242,6.957135179930034,1050.619406242757
2022-02-08,1036.6,6.943701405755606,6.956708292574885,1050.1710058182034
2022-02-09,1067.44,6.973018537434165,6.956276538578145,1049.7176881570783
2022-02-10,1043.7,6.9505273708260065,6.9558399324436015,1049.2594750115047
2022-02-11,1019.56,6.927126440661393,6.955398488881631,1048.7963883922478
2022-02-14,1009.58,6.917289681765058,6.95495222280977,1048.3284505679715
2022-02-15,1025.93,6.93335479728235,6.9545011493533035,1047.8556840644878
2022-02-16,1022.03,6.92954612454026,6.954045283845831,1047.3781116639768
2022-02-17,1014.21,6.921865263300478,6.953584641829834,1046.8957564041875
2022-02-18,1007.85,6.9155746280342685,6.953119239057245,1046.4086415776335
2022-02-22,1002.83,6.9105812820712,6.9526490914900005,1045.9167907307515
2022-02-23,991.73,6.899450892818522,6.952174215300601,1045.4202276630601
2022-02-24,1007.7,6.915425785286357,6.951694626872656,1044.9189764262874
2022-02-25,1026.36,6.933773841380691,6.951210342801439,1044.4130613234927
2022-02-28,1021.83,6.9293504164187265,6.9507213798944205,1043.9025069081572
2022-03-01,1023.98,6.9314522741587155,6.950227755171811,1043.3873379832733
2022-03-02,1036.35,6.943460203602913,6.949729485867085,1042.8675796003934
2022-03-03,1039.21,6.94621608809685,6.94922658942752,1042.3432570586945
2022-03-04,1036.8,6.94389432559801,6.948719083514704,1041.8143959039865
2022-03-07,1011.52,6.919209429027253,6.94820698600507,1041.2810219277421
2022-03-08,999.33,6.907085054431833,6.947690314990395,1040.7431611660786
2022-03-09,1022.81,6.930309020451754,6.94716908877831,1040.2008398987382
2022-03-10,1015.39,6.923028054129167,6.946643325892807,1039.6540846480543
2022-03-11,995.51,6.903255168657213,6.946113045074729,1039.1029221778876
2022-03-14,977.03,6.884517357814959,6.945578265282271,1038.5473794925636
2022-03-15,985.99,6.893646212563375,6.945039005691456,1037.9874838357757
2022-03-16,1019.7,6.92726374537018,6.944495285696622,1037.4232626894864
2022-03-17,1034.26,6.941441474136934,6.943947124910892,1036.8547437727998
2022-03-18,1048.2,6.954829686368066,6.943394543166654,1036.281955040838
2022-03-21,1042.07,6.948964398559816,6.942837560516012,1035.7049246835734
2022-03-22,1045.35,6.952107036552637,6.942276197231254,1035.1236811246736
2022-03-23,1038.87,6.94588886296304,6.941710473805298,1034.538253020309
2022-03-24,1050.94,6.957440280760187,6.941140410952142,1033.9486692579612
2022-03-25,1045.64,6.952384417125342,6.940566029607306,1033.3549589552053
2022-03-28,1059.7,6.96574112818079,6.939987350928263,1032.7571514584824
2022-03-29,1085.47,6.9897683519028115,6.939404396294866,1032.155276341855
2022-03-30,1083.65,6.988090251634412,6.938817187309778,1031.5493634057516
2022-03-31,1067.84,6.973393195563009,6.938225745798878,1030.9394426756894
2022-04-01,1085.52,6.989814413837697,6.937630093811681,1030.3255444009942
2022-04-04,1095.03,6.998537039135577,6.937030253621729,1029.7076990534895
2022-04-05,1092.84,6.996535091367727,6.936426247726999,1029.0859373261892
2022-04-06,1094.28,6.997851891733575,6.935818098850285,1028.4602901319638
2022-04-07,1082.9,6.9873979066343335,6.935205829939588,1027.8307886022033
2022-04-08,1080.7,6.98536425830912,6.934589464168488,1027.197464085454
2022-04-11,1066.51,6.972146914332519,6.933969024936511,1026.5603481460473
2022-04-12,1059.19,6.965259744050563,6.9333445358695025,1025.9194725627312
2022-04-13,1069.17,6.974637925509729,6.9327160208199725,1025.2748693272567
2022-04-14,1056.61,6.962820949004945,6.932083503867449,1024.6265706429788
2022-04-18,1051.5,6.957972995142755,6.931447009318816,1023.9746089234313
2022-04-19,1071.39,6.976712149821073,6.9308065617086605,1023.3190167909022
