Date,COPPER,log_price,log_price_hat,price_hat
2023-12-26,3.894,1.359436906950008,1.4044566614725178,4.073312952042163
2023-12-27,3.953,1.3744747843145484,1.405870095419147,4.079074381584692
2023-12-28,3.9245,1.3672389545847314,1.4072868809173775,4.084857650873368
2023-12-29,3.8905,1.3585376840748478,1.4087068497090047,4.0906621413782265
2024-01-02,3.8805,1.3559640113120566,1.4101298317318296,4.096487223577561
2024-01-03,3.8615,1.3510557090271815,1.4115556551291193,4.102332256910045
2024-01-04,3.844,1.346513491108046,1.4129841462595882,4.108196589729763
2024-01-05,3.806,1.3365787688739577,1.4144151297078975,4.114079559264196
2024-01-08,3.81,1.3376291891386096,1.4158484282956922,4.119980491575326
2024-01-09,3.7585,1.3240199416353866,1.4172838630931783,4.125898701523955
2024-01-10,3.781,1.329988524908796,1.4187212534312486,4.1318334927373375
2024-01-11,3.7765,1.3287976547713656,1.420160416914163,4.137784157580258
2024-01-12,3.7405,1.3192192923303225,1.4216011694328012,4.143749977129673
2024-01-16,3.7665,1.3261461882836123,1.4230433251784802,4.149730221153004
2024-01-17,3.733,1.3172121999324469,1.424486696657358,4.155724148090241
2024-01-18,3.745,1.320421616969183,1.425931094705426,4.161731005039943
2024-01-19,3.7865,1.3314421095717404,1.4273763285041015,4.167750027749289
2024-01-22,3.7635,1.3253493754924497,1.428822205596422,4.1737804406082555
2024-01-23,3.7935,1.3332890757959925,1.4302685319038566,4.179821456648095
2024-01-24,3.886,1.3573803509552484,1.4317151117437426,4.185872277544208
2024-01-25,3.869,1.3529960757183759,1.433161747847349,4.19193209362354
2024-01-26,3.852,1.348592493935879,1.4346082413785821,4.198000083876632
2024-01-29,3.879,1.3555773884578302,1.4360543919533375,4.204075415974452
2024-01-30,3.9215,1.3664742336705842,1.437499997659513,4.210157246290143
2024-01-31,3.917,1.3653260546836943,1.4389448550776793,4.216244719925787
2024-02-01,3.8665,1.352349705066953,1.440388759302429,4.222336970744356
2024-02-02,3.836,1.3444301570211918,1.4418315039644067,4.228433121406949
2024-02-05,3.788,1.3318381753238318,1.4432728812530278,4.234532283415445
2024-02-06,3.7965,1.3340795896711515,1.4447126819398979,4.240633557160737
2024-02-07,3.7505,1.3218891644275539,1.4461506954029353,4.246736031976614
2024-02-08,3.7145,1.312244079609724,1.4475867096512154,4.252838786199499
2024-02-09,3.6925,1.3063037354233977,1.449020511350533,4.258940887234107
2024-02-12,3.7335,1.3173461314936192,1.4504518858497009,4.26504139162519
2024-02-13,3.718,1.3131858892992523,1.4518806172075864,4.271139345135485
2024-02-14,3.7075,1.31035779502995,1.453306488220902,4.277233782830017
2024-02-15,3.7635,1.3253493754924497,1.4547292804527465,4.283323729166838
2024-02-16,3.8435,1.3463834098070497,1.4561487742619175,4.289408198094388
2024-02-20,3.87,1.3532545070416904,1.4575647488329984,4.295486193155577
2024-02-21,3.8805,1.3559640113120566,1.4589769822072243,4.301556707598705
2024-02-22,3.9065,1.3626418324546619,1.46038525131414,4.307618724495362
2024-02-23,3.891,1.3586661940024165,1.4617893320040636,4.313671216865465
2024-02-26,3.8255,1.3416891776897695,1.463188999081345,4.319713147809462
2024-02-27,3.841,1.3457327493637679,1.4645840263384526,4.3257434706479385
2024-02-28,3.8405,1.3456025664565996,1.4659741865908749,4.331761129068666
2024-02-29,3.847,1.347293623770158,1.4673592517128582,4.337765057281253
2024-03-01,3.8615,1.3510557090271815,1.4687389926739822,4.343754180179491
2024-03-04,3.857,1.3498896792260908,1.4701131795765838,4.3497274135115385
2024-03-05,3.847,1.347293623770158,1.4714815816940359,4.355683664058021
2024-03-06,3.875,1.3545456628053103,1.4728439675098906,4.361621829818202
2024-03-07,3.926,1.3676210958542694,1.4742001047578919,4.367540800204284
2024-03-08,3.8915,1.3587946874173058,1.4755497604628662,4.3734394562439745
2024-03-11,3.9285,1.3682576736337393,1.4768927009825028,4.37931667079143
2024-03-12,3.932,1.3691482022849202,1.4782286920500212,4.385171308746632
2024-03-13,4.06,1.4011829736136412,1.4795574988177465,4.391002227283352
2024-03-14,4.0455,1.397605152265757,1.4808788859015876,4.396808276085738
2024-03-15,4.1245,1.4169448003186493,1.4821926174264324,4.402588297593659
2024-03-18,4.13,1.4182774069729414,1.4834984570724634,4.408341127256849
2024-03-19,4.0745,1.4047480397781373,1.4847961681224047,4.414065593797984
2024-03-20,4.0515,1.3990871829186429,1.4860855135097053,4.41976051948473
2024-03-21,4.0585,1.4008134472190934,1.487366255867657,4.425424720410812
2024-03-22,4.0075,1.388167605501571,1.4886381575794716,4.431057006786256
2024-03-25,4.016,1.390286382389428,1.4899009808293047,4.436656183236767
2024-03-26,4.0085,1.3884171065008692,1.4911544876542435,4.442221049112376
2024-03-27,4.0175,1.3906598186295307,1.4923984399972634,4.4477503988053675
2024-03-28,4.025,1.3925249108705269,1.4936325997611504,4.453243022077531
2024-04-01,4.0665,1.4027826786246929,1.494856728863411,4.4586977043968306
2024-04-02,4.089,1.4083004413825053,1.4960705892921569,4.464113227283443
2024-04-03,4.211,1.4377001491797907,1.497273943162984,4.469488368665272
2024-04-04,4.266,1.4506766200491588,1.4984665527768422,4.47482190324291
2024-04-05,4.253,1.4476246162714965,1.4996481806789042,4.480112602864095
2024-04-08,4.288,1.4558204237685008,1.500818589718436,4.485359236907636
2024-04-09,4.295,1.4574515554362186,1.5019775431096802,4.490560572676871
2024-04-10,4.289,1.4560536055347433,1.5031248044937378,4.495715375802559
2024-04-11,4.2665,1.4507938189945024,1.5042601380014788,4.5008224106552985
2024-04-12,4.276,1.4530179931627987,1.5053833083174646,4.505880440767379
2024-04-15,4.3925,1.4798985410791152,1.5064940807448859,4.510888229264042
2024-04-16,4.3205,1.463371136299317,1.50759222127154,4.51584453930419
2024-04-17,4.352,1.4706355095536416,1.5086774966368184,4.520748134530376
2024-04-18,4.4535,1.493690303889787,1.5097496743997365,4.525597779528154
2024-04-19,4.514,1.507183678395344,1.510808523007986,4.530392240294613
2024-04-22,4.4935,1.502631908116291,1.5118538118680265,4.535130284716122
2024-04-23,4.4495,1.4927917303147797,1.5128853114162049,4.539810683055131
2024-04-24,4.4765,1.4988414910920735,1.5139027931909168,4.5444322084460005
2024-04-25,4.5315,1.5110530105126994,1.514906029905799,4.548993637399723
2024-04-26,4.569,1.5192943625811344,1.5158947955239575,4.553493750317439
2024-04-29,4.6765,1.5425499668924687,1.516868865333234,4.557931332012662
2024-04-30,4.5645,1.5183089790229984,1.5178280160225066,4.562305172242037
2024-05-01,4.546,1.5142477254303515,1.518772025759023,4.566614066244547
2024-05-02,4.4845,1.5006270065759206,1.5197006742667674,4.570856815288987
2024-05-03,4.557,1.5166645122817455,1.5206137429058582,4.575032227229566
2024-05-06,4.615,1.5293118679548154,1.5215110147529751,4.5791391170694915
2024-05-07,4.6055,1.5272512414461532,1.5223922746828082,4.583176307532308
2024-05-08,4.5425,1.5134775212881892,1.5232573094505317,4.587142629640864
2024-05-09,4.585,1.522790105708428,1.5241059077752972,4.59103692330368
2024-05-10,4.6625,1.5395517849699338,1.5249378604247372,4.594858037908512
2024-05-13,4.766,1.5615073786765503,1.525752960300481,4.598604832922903
2024-05-14,4.895,1.5882142759824736,1.5265510025246714,4.602276178501489
2024-05-15,4.9245,1.59422274662762,1.5273317845274819,4.6058709560998325
2024-05-16,4.877,1.5845302767279155,1.5280951061356214,4.60938805909451
2024-05-17,5.05,1.6193882432872684,1.5288407696618265,4.612826393409232
2024-05-20,5.079,1.625114391819108,1.5295685799953262,4.616184878146694
2024-05-21,5.106,1.6304163188192922,1.5302783446932753,4.6194624462258735
2024-05-22,4.8485,1.5786693787624637,1.530969874073148,4.622658045024537
2024-05-23,4.7925,1.5670521959376627,1.5316429813060775,4.625770637026577
2024-05-24,4.7535,1.558881188816948,1.5322974825111326,4.628799200473921
2024-05-28,4.855,1.5800091017432882,1.5329331968505278,4.631742730022683
2024-05-29,4.791,1.566739157900985,1.5335499466257396,4.634600237403203
2024-05-30,4.6595,1.5389081462435732,1.5341475573745318,4.637370752083651
2024-05-31,4.6035,1.5268168837457636,1.5347258579688667,4.640053321936842
2024-06-03,4.6655,1.5401950096919395,1.535284680713691,4.642647013909874
2024-06-04,4.5375,1.512376199590969,1.5358238614465842,4.645150914696268
2024-06-05,4.5865,1.5231172059675733,1.536343239638246,4.6475641314101575
2024-06-06,4.667,1.5405164669676785,1.5368426584938155,4.6498857922622
2024-06-07,4.477,1.4989531792588286,1.5373219650549985,4.652115047236773
2024-06-10,4.5395,1.512816873829675,1.5377810103029848,4.6542510687700505
2024-06-11,4.4935,1.502631908116291,1.538219649262138,4.656293052428547
2024-06-12,4.555,1.5162255307119217,1.5386377411044392,4.658240217587701
2024-06-13,4.472,1.497835735852798,1.5390351492546561,4.660091808110051
2024-06-14,4.4705,1.4975002591932358,1.539411741496225,4.66184709302258
2024-06-17,4.4275,1.4878350906748516,1.539767390077815,4.663505367192752
2024-06-18,4.447,1.4922297115285594,1.5401019718205535,4.665065952002812
2024-06-20,4.521,1.508733208312468,1.5404153682258857,4.666528196021849
2024-06-21,4.4265,1.4876092040689668,1.5407074655840456,4.6678914756751855
2024-06-24,4.425,1.4872702784598928,1.5409781550831054,4.669155195910584
2024-06-25,4.3655,1.4737327302687253,1.5412273329185793,4.670318790860807
2024-06-26,4.3635,1.473274487621229,1.5414549004035494,4.671381724502033
2024-06-27,4.3485,1.4698309580476827,1.5416607640792848,4.67234349130763
2024-06-28,4.3915,1.479670854375035,1.541844835826319,4.6732036168968
2024-07-01,4.418,1.4856871049979254,1.5420070329759543,4.673961658677572
2024-07-02,4.419,1.485913426148603,1.5421472784221577,4.674617206483654
2024-07-03,4.5335,1.5114942681039738,1.542265500733814,4.675169883204629
2024-07-05,4.652,1.537297234656418,1.5423616342672954,4.675619345408976
2024-07-08,4.618,1.5299617109323036,1.5424356192793125,4.6759652839594095
2024-07-09,4.5775,1.5211529975665286,1.542487402040005,4.676207424620017
2024-07-10,4.6085,1.527902424451582,1.542516934946231,4.676345528654679
2024-07-11,4.5065,1.5055207990143273,1.5425241766350133,4.676379393416254
2024-07-12,4.593,1.5245334053436563,1.542509092097095,4.67630885292601
2024-07-15,4.5265,1.509949013933358,1.5424716527905644,4.6761337784427885
2024-07-16,4.4495,1.4927917303147797,1.5424118367544966,4.675854079021377
