horizon,response,shock,fevd
10,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
10,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
10,dlog_COPPER,dlog_COPPER,0.9376926548900603
10,dlog_COPPER,dlog_DXY,0.001371234678134283
10,dlog_COPPER,d_UST10Y,5.640748954542012e-05
10,dlog_COPPER,dlog_VIX,0.007203850594601418
10,dlog_DXY,dlog_SOLVPN,0.09784388088188838
10,dlog_DXY,dlog_COPPER,0.07030634510429273
10,dlog_DXY,dlog_DXY,0.8212946217834421
10,dlog_DXY,d_UST10Y,0.006938270109905237
10,dlog_DXY,dlog_VIX,0.0036168821204714662
10,d_UST10Y,dlog_SOLVPN,0.05287671576728272
10,d_UST10Y,dlog_COPPER,0.003068179594515546
10,d_UST10Y,dlog_DXY,0.0867547586391556
10,d_UST10Y,d_UST10Y,0.856810712730925
10,d_UST10Y,dlog_VIX,0.0004896332681210318
10,dlog_VIX,dlog_SOLVPN,0.28318822385737075
10,dlog_VIX,dlog_COPPER,0.015240152330127833
10,dlog_VIX,dlog_DXY,0.0029866838502600034
10,dlog_VIX,d_UST10Y,0.011607404210375217
10,dlog_VIX,dlog_VIX,0.6869775357518666
11,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
11,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
11,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
11,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
11,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
11,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
11,dlog_COPPER,dlog_COPPER,0.9376926548900603
11,dlog_COPPER,dlog_DXY,0.001371234678134283
11,dlog_COPPER,d_UST10Y,5.640748954542031e-05
11,dlog_COPPER,dlog_VIX,0.007203850594601418
11,dlog_DXY,dlog_SOLVPN,0.09784388088188838
11,dlog_DXY,dlog_COPPER,0.07030634510429273
11,dlog_DXY,dlog_DXY,0.8212946217834421
11,dlog_DXY,d_UST10Y,0.006938270109905237
11,dlog_DXY,dlog_VIX,0.0036168821204714662
11,d_UST10Y,dlog_SOLVPN,0.05287671576728272
11,d_UST10Y,dlog_COPPER,0.003068179594515546
11,d_UST10Y,dlog_DXY,0.0867547586391556
11,d_UST10Y,d_UST10Y,0.856810712730925
11,d_UST10Y,dlog_VIX,0.0004896332681210318
11,dlog_VIX,dlog_SOLVPN,0.28318822385737075
11,dlog_VIX,dlog_COPPER,0.015240152330127833
11,dlog_VIX,dlog_DXY,0.0029866838502600034
11,dlog_VIX,d_UST10Y,0.011607404210375217
11,dlog_VIX,dlog_VIX,0.6869775357518666
12,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
12,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
12,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
12,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
12,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
12,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
12,dlog_COPPER,dlog_COPPER,0.9376926548900603
12,dlog_COPPER,dlog_DXY,0.001371234678134283
12,dlog_COPPER,d_UST10Y,5.640748954542031e-05
12,dlog_COPPER,dlog_VIX,0.007203850594601418
